iter	Passed	Remaining
835	14385	2822
836	14400	2804
837	14416	2787
838	14434	2769
839	14450	2752
840	14469	2735
841	14484	2718
842	14499	2700
843	14515	2682
844	14530	2665
845	14545	2647
846	14561	2630
847	14578	2613
848	14594	2595
849	14613	2578
850	14630	2561
851	14645	2544
852	14660	2526
853	14675	2508
854	14691	2491
855	14711	2474
856	14729	2457
857	14749	2441
858	14768	2424
859	14788	2407
860	14807	2390
861	14824	2373
862	14841	2356
863	14856	2338
864	14875	2321
865	14891	2304
866	14906	2286
867	14921	2269
868	14937	2251
869	14954	2234
870	14969	2217
871	14985	2199
872	15002	2182
873	15020	2165
874	15039	2148
875	15058	2131
876	15076	2114
877	15095	2097
878	15113	2080
879	15128	2062
880	15143	2045
881	15160	2028
882	15178	2011
883	15193	1993
884	15209	1976
885	15224	1958
886	15240	1941
887	15254	1924
888	15270	1906
889	15286	1889
890	15302	1872
891	15318	1854
892	15332	1837
893	15348	1819
894	15364	1802
895	15382	1785
896	15399	1768
897	15415	1750
898	15430	1733
899	15444	1716
900	15458	1698
901	15478	1681
902	15497	1664
903	15513	1647
904	15528	1630
905	15545	1612
906	15561	1595
907	15577	1578
908	15596	1561
909	15616	1544
910	15633	1527
911	15649	1510
912	15664	1492
913	15683	1475
914	15704	1458
915	15719	1441
916	15735	1424
917	15755	1407
918	15775	1390
919	15795	1373
920	15811	1356
921	15827	1338
922	15843	1321
923	15859	1304
924	15873	1287
925	15889	1269
926	15906	1252
927	15922	1235
928	15937	1218
